,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall
Income,1.0,-0.5316989197748734,0.04248289448255327,0.006716214035948712,0.7304951613642852,0.5379202581686491,0.7024996196456762,0.5517580018179079,0.5556010365636538,0.41765287493031367,-0.1324266057252855,0.5031842017362951,0.7100565341470728,0.6872057162979314,-0.6483062734574417,-0.011180864623024927,0.23326691512190817,0.4163859276005816,0.3452420616978149,0.11020953315720858,-0.027487682312571187,,,0.1749017657049621,0.212625315390149,-0.024892175100490636,0.013892287017807748,-0.010426969915644742,-0.015539170052546531,-0.0019597333885504895,0.044336452718402496,-0.060620748612813295,-0.23960442622403122,0.017643915399652474,0.021632987311479054,0.09117590737638182,0.8230660021398346,0.8168792294516763,0.3882473064762164
Kidhome,-0.5316989197748734,1.0,-0.04020674174660509,0.011829056357293987,-0.4992876090170545,-0.3743883124518707,-0.4456653698614963,-0.38989486012653357,-0.3791012195533949,-0.35654965074121475,0.2264338014004641,-0.3755902140017986,-0.51981329033197,-0.5065431681338818,0.4484971765578219,0.015897070886538984,-0.1625967026630407,-0.20512367786824987,-0.1747408383925303,-0.08212403702522066,0.037025480851939824,,,-0.07840928899556195,-0.2380828110888794,-0.055743362331309325,-0.01851351908770886,0.01973056613563043,0.014525125270150978,0.007422499139788107,-0.07224353729318207,0.019050319844562635,0.05530775900220158,-0.001930414611151363,0.011482237744734933,-0.04203061437513793,-0.5511520414665865,-0.5398280429940374,-0.21207958630020618
Teenhome,0.04248289448255327,-0.04020674174660509,1.0,0.013881442084347329,0.002783477883612838,-0.17692528892309145,-0.26717681942913507,-0.20637129254211234,-0.16424604037470023,-0.019619038977968805,0.3943406572108298,0.16122895892172445,-0.11401850385887084,0.04732114813553774,0.12936493965845774,-0.0432229786713024,0.03786040808866102,-0.19076044715319515,-0.14574769513296415,-0.0158048804610544,0.007633360124279833,,,-0.15519603991345918,0.36291864136561564,0.019394380338241566,0.055851955753799185,0.007499335803851855,-0.10045427679741667,0.027180977242545677,0.04796233707800604,-0.05625915879084459,-0.12051909375156067,-0.024697766370866264,0.023805900914289174,0.09290146233329488,-0.14299516514934632,-0.1468657273524333,-0.1302547449122244
Recency,0.006716214035948712,0.011829056357293987,0.013881442084347329,1.0,0.016470456321228195,-0.004908748199369642,0.02613848789085908,0.0011773192983190644,0.025535285097482922,0.018557529457631942,0.00047919319269122625,-0.005104469232032082,0.029749555957529178,0.0004621200343513523,-0.01790575857681483,-0.03232740246517677,0.01765837606390931,0.00033384883679170877,-0.021096837554241302,-0.0013902334321933142,0.005758228390595534,,,-0.20041313589102472,0.014227716008367133,0.02833844869416154,0.0014831209236874352,-0.021105586971573068,-0.0009263337564185683,0.023908193730397275,-0.0013484302537416332,-0.006789197118134224,-0.003092828267173563,0.03141853372393471,-0.025563045929562333,-0.009234260230339937,0.021132119333547413,0.02024144978552579,-0.013344023168565582
MntWines,0.7304951613642852,-0.4992876090170545,0.002783477883612838,0.016470456321228195,1.0,0.3849465285766008,0.5931189305530964,0.39596669042000765,0.38861274540950264,0.3901935569688098,0.011858138350323939,0.5523420869285405,0.6732337937005709,0.6393728229416173,-0.32939473769687105,0.060699842579473764,0.3730625502452904,0.4727289575438082,0.3513455961800849,0.20623078746459772,-0.0367090419759065,,,0.24555912012563644,0.16443771684546746,0.1681023906520289,0.021679241796480876,-0.012597170182627838,-0.022597803247839627,0.005914940386924844,0.03413863162436333,-0.09625908093698843,-0.14036859264832202,-0.060919622396011286,0.03640327298663144,0.1608038956749695,0.902309601893777,0.901848424997767,0.5099129665333125
MntFruits,0.5379202581686491,-0.3743883124518707,-0.17692528892309145,-0.004908748199369642,0.3849465285766008,1.0,0.5681000980626549,0.5925564347818175,0.5709861451637869,0.3925960964741547,-0.136350119599443,0.30081320041741655,0.5136862515030931,0.4590559549775165,-0.4244634224295832,0.01413144808351832,0.006078480093493626,0.20861544171524862,0.1920614304527267,-0.010146893934956209,-0.0031345605077846895,,,0.12233142262889292,0.013148504782858571,0.06797806460129795,0.01056665782235266,-0.013723228272219319,0.01198191600510778,-0.014209712701219152,0.0259605260772761,0.02545164446936955,-0.06091546167169716,0.11491936359849719,-0.05558109585304429,-0.08430053270680392,0.6066577362133918,0.594180343078669,0.15513282649310672
MntMeatProducts,0.7024996196456762,-0.4456653698614963,-0.26717681942913507,0.02613848789085908,0.5931189305530964,0.5681000980626549,1.0,0.5956730220267628,0.556511023609151,0.3755811089384241,-0.16552169581905357,0.32945315981810225,0.7143823190415901,0.5172449259118334,-0.5433874196268949,0.021224280211550154,0.09679840386799748,0.38927614446107783,0.32530623473747095,0.045841628203351026,-0.020920756700577258,,,0.24882126580974642,0.04154040781125722,0.08920301271761279,-0.02168844991868318,-0.027768868968930202,0.04557483623512608,-0.004063846070049555,0.017369524932034874,-0.041737588552996314,-0.11196835597469569,0.06491663401068605,-0.0040202711654663105,-0.004194438949615605,0.8613915272697648,0.8606633565975322,0.3195533552450115
MntFishProducts,0.5517580018179079,-0.38989486012653357,-0.20637129254211234,0.0011773192983190644,0.39596669042000765,0.5925564347818175,0.5956730220267628,1.0,0.5829742402339896,0.42542039875990034,-0.14502997606349352,0.2977758808260468,0.5631735086466326,0.456896163211653,-0.45335311256957517,-0.0008317886611767769,0.015512849729611033,0.1943871733310992,0.26138904325276663,0.002093104237450832,-0.01929870790133191,,,0.107404626300016,0.040854940419472886,0.08161068526076658,-0.015212517424340556,-0.03172834691879401,0.013808745033327397,0.015501820644428113,0.04188602878016046,0.06130383189434839,-0.05983961692662498,0.10622704377101905,-0.05015285933658053,-0.10395244669191231,0.6350380686302963,0.6206264001614407,0.1746745809196417
MntSweetProducts,0.5556010365636538,-0.3791012195533949,-0.16424604037470023,0.025535285097482922,0.38861274540950264,0.5709861451637869,0.556511023609151,0.5829742402339896,1.0,0.3557471823635011,-0.12227910805098673,0.3320569860442752,0.5243692499632703,0.45413335065381166,-0.4293754168922413,0.0010993038506540976,0.028664534940752943,0.2580529217020371,0.24477115367156532,0.00991522221953243,-0.020772801865951547,,,0.11532566180689721,0.021075192192972724,0.08084339447677646,-0.000812534440983807,-0.0056058312606058645,-0.0027112644505369477,-0.011220146589009317,0.049347049335078955,0.06055000379344009,-0.057863068953953364,0.10407535856601417,-0.0677233282865347,-0.08570161844449904,0.6045142897868163,0.5953935535799236,0.20017352929563803
MntGoldProds,0.41765287493031367,-0.35654965074121475,-0.019619038977968805,0.018557529457631942,0.3901935569688098,0.3925960964741547,0.3755811089384241,0.42542039875990034,0.3557471823635011,1.0,0.056926086522030246,0.4059609804367378,0.4710315149765029,0.3885751892246718,-0.2530218745578565,0.1249840073138278,0.02361302605114523,0.17611781142835134,0.17037978525068181,0.0507310188592308,-0.030440206579791358,,,0.14020968604811562,0.059294692723336255,0.16140681605188978,0.01663326177314756,-0.016411446342890258,-0.0010063296794660017,-0.010374800584273574,0.04309587121919408,0.019189066018894908,-0.06501355184498721,0.13175936354162,-0.032492385574403954,-0.11970789480845238,0.4636939602506981,0.38877552676650223,0.1946465079359365
